ion,charge,coordination,spin_state,crystal_radius,ionic_radius,key*
Ac,3,VI,,1.26,1.12,R
Ag,1,II,,0.81,0.67,
Ag,1,IV,,1.14,1.0,C
Ag,1,IVSQ,,1.16,1.02,
Ag,1,V,,1.23,1.09,C
Ag,1,VI,,1.29,1.15,C
Ag,1,VII,,1.36,1.22,
Ag,1,VIII,,1.42,1.28,
Ag,2,IVSQ,,0.93,0.79,
Ag,2,VI,,1.08,0.94,
Ag,3,IVSQ,,0.81,0.67,
Ag,3,VI,,0.89,0.75,R
Al,3,IV,,0.53,0.39,*
Al,3,V,,0.62,0.48,
Al,3,VI,,0.675,0.535,R*
Am,2,VII,,1.35,1.21,
Am,2,VIII,,1.4,1.26,
Am,2,IX,,1.45,1.31,
Am,3,VI,,1.115,0.975,R
Am,3,VIII,,1.23,1.09,
Am,4,VI,,0.99,0.85,R
Am,4,VIII,,1.09,0.95,
As,3,VI,,0.72,0.58,A
As,5,IV,,0.475,0.335,R*
As,5,VI,,0.6,0.46,C*
At,7,VI,,0.76,0.62,A
Au,1,VI,,1.51,1.37,A
Au,3,IVSQ,,0.82,0.68,
Au,3,VI,,0.99,0.85,A
Au,5,VI,,0.71,0.57,
B,3,III,,0.15,0.01,*
B,3,IV,,0.25,0.11,*
B,3,VI,,0.41,0.27,C
Ba,2,VI,,1.49,1.35,
Ba,2,VII,,1.52,1.38,C
Ba,2,VIII,,1.56,1.42,
Ba,2,IX,,1.61,1.47,
Ba,2,X,,1.66,1.52,
Ba,2,XI,,1.71,1.57,
Ba,2,XII,,1.75,1.61,C
Be,2,III,,0.3,0.16,
Be,2,IV,,0.41,0.27,*
Be,2,VI,,0.59,0.45,C
Bi,3,V,,1.1,0.96,C
Bi,3,VI,,1.17,1.03,R*
Bi,3,VIII,,1.31,1.17,R
Bi,5,VI,,0.9,0.76,E
Bk,3,VI,,1.1,0.96,R
Bk,4,VI,,0.97,0.83,R
Bk,4,VIII,,1.07,0.93,R
Br,-1,VI,,1.82,1.96,P
Br,3,IVSQ,,0.73,0.59,
Br,5,IIIPY,,0.45,0.31,
Br,7,IV,,0.39,0.25,
Br,7,VI,,0.53,0.39,A
C,4,III,,0.06,-0.08,
C,4,IV,,0.29,0.15,P
C,4,VI,,0.3,0.16,A
Ca,2,VI,,1.14,1.0,
Ca,2,VII,,1.2,1.06,*
Ca,2,VIII,,1.26,1.12,*
Ca,2,IX,,1.32,1.18,
Ca,2,X,,1.37,1.23,C
Ca,2,XII,,1.48,1.34,C
Cd,2,IV,,0.92,0.78,
Cd,2,V,,1.01,0.87,
